user_pseudo_id,purchase_propensity_score,propensity_decile,propensity_band,label_future_purchase,first_device_category,first_traffic_source,first_traffic_medium,first_country,favorite_view_category,total_sessions,total_events,total_page_views,total_item_views,total_add_to_carts,days_since_last_session
72581747.67346255,0.1643213076295196,8,High,0,desktop,<Other>,<Other>,United States,(not set),1,1,0,0,0,44
5346296.101138561,0.09582700231857096,6,Medium,0,desktop,google,organic,Indonesia,(not set),2,4,2,0,0,44
7386178.621321019,0.23550865913883792,9,High,0,mobile,(data deleted),(data deleted),United States,(not set),1,2,1,0,0,44
12060946.311678106,0.23550865913883792,9,High,0,mobile,(data deleted),(data deleted),United States,(not set),1,2,1,0,0,44
2002793.4519653968,0.09763682246150415,6,Medium,0,desktop,shop.googlemerchandisestore.com,referral,United States,(not set),1,2,1,0,0,44
4374772.736395584,0.06790617000800603,4,Medium,0,desktop,google,organic,(not set),(not set),1,2,1,0,0,44
4247638.50443848,0.19289401313578497,8,High,0,desktop,<Other>,referral,United States,(not set),3,6,2,0,0,44
1200411.350618678,0.3108915676285433,9,High,0,desktop,(direct),(none),United States,(not set),1,2,0,0,0,44
9002448.594174452,0.2800192838090863,9,High,0,desktop,(data deleted),(data deleted),United States,(not set),1,2,0,0,0,44
4080246.8182959575,0.14742232784289264,8,Medium,0,desktop,shop.googlemerchandisestore.com,referral,Japan,(not set),1,2,0,0,0,44
8649892.718963623,0.2801654865099515,9,High,0,desktop,(direct),(none),Colombia,(not set),1,2,0,0,0,44
2019633.1104657387,0.08699697665508861,5,Medium,0,mobile,google,organic,United States,(not set),1,2,0,0,0,44
48828268.65440891,0.3108915676285433,9,High,0,desktop,(direct),(none),United States,(not set),1,2,0,0,0,44
7563940.470477379,0.28941468460519393,9,High,0,mobile,(data deleted),(data deleted),India,(not set),1,2,0,0,0,44
10336442.396600349,0.07921625567776673,5,Medium,0,desktop,google,organic,United States,(not set),1,2,1,0,0,44
37778093.41042113,0.14369699283199797,7,Medium,0,desktop,google,organic,(not set),(not set),1,2,0,0,0,44
5566990.863147766,0.2644968780115218,9,High,0,desktop,(direct),(none),Spain,(not set),1,2,0,0,0,44
1142826.6131993358,0.03650924695166905,1,Low,0,mobile,google,organic,Canada,(not set),1,2,1,0,0,44
